# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
경기도,군포시,전세,40~60㎡(12~18평),570,23000,0,1994
경기도,군포시,전세,40㎡미만(~12평),62,17250,0,1995
경기도,군포시,전세,60~85㎡(18~26평),203,40000,0,2008
경기도,군포시,전세,85~135㎡(26~40평),120,45000,0,1993
경기도,김포시,월세,135㎡이상(40평~),17,5000,150,2002
경기도,김포시,월세,40~60㎡(12~18평),311,3157,50,2012
경기도,김포시,월세,40㎡미만(~12평),266,1966,14,2018
경기도,김포시,월세,60~85㎡(18~26평),571,7016,90,2018
경기도,김포시,월세,85~135㎡(26~40평),99,5000,150,2011
경기도,김포시,전세,135㎡이상(40평~),29,42000,0,2003
경기도,김포시,전세,40~60㎡(12~18평),370,27240,0,2013
경기도,김포시,전세,40㎡미만(~12평),6,8650,0,1988
경기도,김포시,전세,60~85㎡(18~26평),857,31900,0,2017
경기도,김포시,전세,85~135㎡(26~40평),228,37250,0,2012
경기도,남양주시,월세,135㎡이상(40평~),30,6950,140,2008
경기도,남양주시,월세,40~60㎡(12~18평),2346,8856,34,2024
경기도,남양주시,월세,40㎡미만(~12평),1249,4253,12,2022
경기도,남양주시,월세,60~85㎡(18~26평),834,10000,70,2018
경기도,남양주시,월세,85~135㎡(26~40평),140,10000,140,2009
경기도,남양주시,전세,135㎡이상(40평~),42,55000,0,2009
경기도,남양주시,전세,40~60㎡(12~18평),641,23000,0,2005
경기도,남양주시,전세,40㎡미만(~12평),26,8850,0,1990
경기도,남양주시,전세,60~85㎡(18~26평),1585,37000,0,2015
경기도,남양주시,전세,85~135㎡(26~40평),262,48800,0,2009
경기도,동두천시,월세,40~60㎡(12~18평),79,1000,50,2003
경기도,동두천시,월세,40㎡미만(~12평),12,500,40,2012
경기도,동두천시,월세,60~85㎡(18~26평),40,2000,70,2007
경기도,동두천시,월세,85~135㎡(26~40평),7,2000,95,2005
경기도,동두천시,전세,40~60㎡(12~18평),117,12600,0,2004
경기도,동두천시,전세,40㎡미만(~12평),10,8350,0,2018
경기도,동두천시,전세,60~85㎡(18~26평),61,17500,0,2009
경기도,동두천시,전세,85~135㎡(26~40평),19,20000,0,2005
경기도,부천시 소사구,월세,40~60㎡(12~18평),118,5000,67,2011
